From Date,O3,Temperature,SO2,PM10,NO2,CO
2015-06-24 0:00:00,82.58,82.4,11.79,187.38,72.05,1.67
2015-06-24 3:00:00,60.78,82.4,7.72,148.94,43.6,0.92
2015-06-24 6:00:00,69.62,82.7,8.78,209.63,60.97,1.32
2015-06-24 9:00:00,80.9,86.0,8.13,293.54,50.01,1.68
2015-06-24 12:00:00,114.68,93.2,7.29,275.83,57.12,1.63
2015-06-24 15:00:00,110.31,96.8,7.57,242.0,50.32,1.26
2015-06-24 18:00:00,66.06,87.85,6.39,161.62,72.7,1.36
2015-06-24 21:00:00,58.87,80.6,8.14,143.0,69.85,1.56
2015-06-25 0:00:00,37.55,75.2,6.99,40.46,50.64,0.92
2015-06-25 3:00:00,62.66,73.4,6.55,46.75,35.96,0.89
2015-06-25 6:00:00,45.63,75.2,8.16,33.42,38.85,1.08
2015-06-25 9:00:00,67.85,77.0,7.09,33.71,49.28,1.16
2015-06-25 12:00:00,37.94,80.3,7.26,64.09,33.59,1.14
2015-06-25 15:00:00,41.98,84.7,16.75,68.29,40.74,1.13
2015-06-25 18:00:00,47.04,86.0,4.64,86.25,37.14,1.12
2015-06-25 21:00:00,44.5,80.6,7.62,66.17,62.01,1.87
2015-06-26 0:00:00,66.63,78.8,11.13,146.0,60.26,2.74
2015-06-26 3:00:00,79.58,78.55,6.13,175.75,46.09,0.95
2015-06-26 6:00:00,58.78,80.6,8.24,111.34,44.59,0.85
2015-06-26 9:00:00,67.96,87.8,6.47,206.0,40.4,0.85
2015-06-26 12:00:00,63.53,93.2,7.76,166.04,41.48,0.73
2015-06-26 15:00:00,44.5,96.25,5.99,178.2,40.64,0.87
2015-06-26 18:00:00,50.66,98.7,4.47,232.52,45.9,0.91
2015-06-26 21:00:00,62.69,84.2,6.43,252.42,48.55,1.0
2015-06-27 0:00:00,45.04,82.4,6.86,160.83,42.06,0.82
2015-06-27 3:00:00,47.9,82.4,6.21,114.12,35.33,0.69
2015-06-27 6:00:00,41.18,82.4,6.59,122.42,33.24,0.94
2015-06-27 9:00:00,61.05,91.4,7.51,225.33,32.97,0.9
2015-06-27 12:00:00,59.56,98.6,7.23,277.46,35.33,0.77
2015-06-27 15:00:00,63.57,98.675,13.03,227.84,36.08,0.94
2015-06-27 18:00:00,58.59,98.6,6.4,218.02,45.45,1.06
2015-06-27 21:00:00,46.11,86.0,6.24,206.52,52.1,1.17
2015-06-28 0:00:00,39.29,86.0,6.3,166.42,47.86,1.05
2015-06-28 3:00:00,36.93,82.4,6.21,160.16,37.03,0.86
2015-06-28 6:00:00,40.38,86.0,8.17,176.25,52.68,1.27
2015-06-28 9:00:00,42.3,94.2,7.58,221.0,38.04,1.08
2015-06-28 12:00:00,54.21,98.65,6.88,236.12,35.42,1.03
2015-06-28 15:00:00,61.6,98.66875000000002,7.99,234.25,34.99,0.98
2015-06-28 18:00:00,62.23,98.66640625,7.52,276.41,42.97,1.06
2015-06-28 21:00:00,96.32,96.8,7.91,169.33,85.41,1.69
2015-06-29 0:00:00,68.51,91.4,6.43,212.04,46.92,1.12
2015-06-29 3:00:00,64.79,86.0,4.99,234.25,20.47,0.78
2015-06-29 6:00:00,38.99,84.2,5.39,58.17,28.54,0.99
2015-06-29 9:00:00,37.49,84.55,6.24,30.21,37.21,0.95
2015-06-29 12:00:00,43.81,91.4,7.1,94.76,36.48,0.94
2015-06-29 15:00:00,48.37,95.0,4.71,96.86,40.78,1.24
2015-06-29 18:00:00,66.66,91.4,4.65,67.46,41.72,1.01
2015-06-29 21:00:00,44.67,86.0,8.39,38.96,52.85,1.14
2015-06-30 0:00:00,46.65,84.2,8.97,67.63,52.54,0.94
2015-06-30 3:00:00,61.29,82.5,6.33,139.93,43.63,0.79
2015-06-30 6:00:00,42.55,82.4,8.54,68.0,41.75,0.89
2015-06-30 9:00:00,44.01,87.8,7.24,71.46,34.7,1.05
2015-06-30 12:00:00,70.93,95.0,7.19,148.83,44.83,0.83
2015-06-30 15:00:00,63.64,93.1,40.06,125.37,38.74,1.18
2015-06-30 18:00:00,75.89,91.4,6.19,108.5,46.01,1.06
2015-06-30 21:00:00,49.87,87.8,9.16,83.29,60.12,1.32
2015-07-01 0:00:00,43.59,84.2,9.74,88.33,51.57,1.04
2015-07-01 3:00:00,47.18,80.6,7.8,98.75,46.77,0.74
2015-07-01 6:00:00,31.88,80.6,7.7,56.08,39.99,1.1
2015-07-01 9:00:00,40.59,88.85,8.32,97.52,45.04,0.99
2015-07-01 12:00:00,58.04,95.0,10.8,180.3,60.61,1.05
2015-07-01 15:00:00,97.2,98.6,14.0,203.42,56.23,1.33
2015-07-01 18:00:00,108.63,93.2,6.82,208.36,56.2,1.19
2015-07-01 21:00:00,62.92,87.8,6.79,114.29,60.99,1.14
2015-07-02 0:00:00,47.99,84.2,5.78,173.08,41.21,0.9
2015-07-02 3:00:00,59.34,84.2,7.03,83.09,50.26,0.92
2015-07-02 6:00:00,34.84,82.4,8.82,113.2,43.85,1.13
2015-07-02 9:00:00,57.9,89.6,5.8,156.95,50.02,1.08
2015-07-02 12:00:00,99.41,98.6,7.79,203.32,60.05,1.09
2015-07-02 15:00:00,83.9,98.9,5.64,219.81,50.82,1.31
2015-07-02 18:00:00,58.94,98.7875,6.21,229.54,51.27,1.04
2015-07-02 21:00:00,58.16,89.6,7.34,190.75,68.88,1.37
2015-07-03 0:00:00,60.0,89.6,5.84,207.22,37.69,0.7
2015-07-03 3:00:00,72.86,84.2,6.86,205.76,21.41,0.66
2015-07-03 6:00:00,34.87,84.2,7.44,114.25,29.4,0.92
2015-07-03 9:00:00,65.93,93.2,9.55,220.91,45.01,1.05
2015-07-03 12:00:00,72.04,97.8,11.96,224.89,40.58,0.94
2015-07-03 15:00:00,54.34,98.175,7.24,216.29,37.0,1.0
2015-07-03 18:00:00,56.76,93.871875,6.26,195.12,44.94,0.83
2015-07-03 21:00:00,64.4,83.30000000000001,7.46,252.0,36.29,1.09
2015-07-04 0:00:00,37.73,82.4,10.74,114.92,41.09,1.04
2015-07-04 3:00:00,41.03,80.6,8.85,53.04,26.93,0.85
2015-07-04 6:00:00,43.65,82.4,9.12,71.11,35.77,1.03
2015-07-04 9:00:00,97.27,92.15,7.22,237.22,35.91,0.96
2015-07-04 12:00:00,168.0,96.8,10.3,654.34,36.67,0.91
2015-07-04 15:00:00,33.07,98.6,5.46,496.3375,31.24,1.015
2015-07-04 18:00:00,30.82,96.8,3.66,516.0878124999999,31.86,1.001875
2015-07-04 21:00:00,24.04,95.0,4.54,513.6190234374999,40.92,1.003515625
2015-07-05 0:00:00,15.01,91.4,4.91,513.9276220703125,43.08,1.003310546875
2015-07-05 3:00:00,15.51,91.4,6.24,513.889047241211,37.53,1.0033361816406248
2015-07-05 6:00:00,15.64,91.4,3.34,513.8938690948486,26.61,1.0033329772949218
2015-07-05 9:00:00,13.2,93.2,3.5,513.8932663631439,27.46,1.0033333778381346
2015-07-05 12:00:00,20.31,96.8,11.62,160.6,29.72,0.92
2015-07-05 15:00:00,124.14,99.2,7.67,525.17,30.88,1.02
2015-07-05 18:00:00,96.39,98.9,6.39,433.71,34.76,0.91
